Posición angular-canales 1 y 2, Ensayo #1
Tiempo ( s )	Posición angular ( rad )
3,0600	1,08647
3,0700	1,16937
3,0800	1,25227
3,0900	1,33518
3,1000	1,41372
3,1100	1,48789
3,1200	1,56643
3,1300	1,64061
3,1400	1,71042
3,1500	1,78024
3,1600	1,83260
3,1700	1,89368
3,1800	1,96786
3,1900	2,03331
3,2000	2,09003
3,2100	2,15112
3,2200	2,19911
3,2300	2,25147
3,2400	2,29947
3,2500	2,34310
3,2600	2,38674
3,2700	2,42164
3,2800	2,46091
3,2900	2,49582
3,3000	2,52200
3,3100	2,54818
3,3200	2,57000
3,3300	2,59181
3,3400	2,60927
3,3500	2,62236
3,3600	2,63108
3,3700	2,63981
3,3800	2,64854
3,3900	2,65290
3,4000	2,65290
3,4100	2,65290
3,4200	2,65290
3,4300	2,64417
3,4400	2,63108
3,4500	2,61363
3,4600	2,60054
3,4700	2,57436
3,4800	2,54382
3,4900	2,51764
3,5000	2,48273
3,5100	2,44782
3,5200	2,41292
3,5300	2,36928
3,5400	2,32565
3,5500	2,28202
3,5600	2,23402
3,5700	2,18166
3,5800	2,12494
3,5900	2,06822
3,6000	2,01586
3,6100	1,95477
3,6200	1,90241
3,6300	1,84132
3,6400	1,75406
3,6500	1,67988
3,6600	1,61443
3,6700	1,52716
3,6800	1,45299
3,6900	1,37881
3,7000	1,29591
3,7100	1,21737
3,7200	1,13446
3,7300	1,04283
3,7400	0,959931
3,7500	0,877028
3,7600	0,785398
3,7700	0,702495
3,7800	0,610865
3,7900	0,519235
3,8000	0,431969
3,8100	0,344703
3,8200	0,248709
3,8300	0,157080
3,8400	0,0654498
3,8500	-0,0261799
3,8600	-0,122173
3,8700	-0,209440
3,8800	-0,301069
3,8900	-0,392699
3,9000	-0,479966
3,9100	-0,562869
3,9200	-0,658862
3,9300	-0,746128
3,9400	-0,829031
3,9500	-0,916298
3,9600	-0,999201
3,9700	-1,08210
3,9800	-1,16937
3,9900	-1,25227
4,0000	-1,32645
4,0100	-1,40499
4,0200	-1,47917
4,0300	-1,55334
4,0400	-1,62752
4,0500	-1,70170
4,0600	-1,77151
4,0700	-1,83260
4,0800	-1,89805
4,0900	-1,95913
4,1000	-2,01149
4,1100	-2,07258
4,1200	-2,12494
4,1300	-2,17730
4,1400	-2,22529
4,1500	-2,26893
4,1600	-2,31256
4,1700	-2,35183
4,1800	-2,39110
4,1900	-2,42601
4,2000	-2,45655
4,2100	-2,48709
4,2200	-2,51327
4,2300	-2,53073
4,2400	-2,53945
4,2500	-2,54382
4,2600	-2,54382
4,2700	-2,53509
4,2800	-2,51327
4,2900	-2,48273
4,3000	-2,45219
4,3100	-2,42164
4,3200	-2,38674
4,3300	-2,34310
4,3400	-2,29947
4,3500	-2,25584
4,3600	-2,20348
4,3700	-2,15112
4,3800	-2,10312
4,3900	-2,04640
4,4000	-1,98531
4,4100	-1,92859
4,4200	-1,86750
4,4300	-1,79769
4,4400	-1,73224
4,4500	-1,66679
4,4600	-1,59261
4,4700	-1,52280
4,4800	-1,44862
4,4900	-1,37008
4,5000	-1,29154
4,5100	-1,21737
4,5200	-1,13883
4,5300	-1,06029
4,5400	-0,977384
4,5500	-0,881391
4,5600	-0,802851
4,5700	-0,719948
4,5800	-0,628319
4,5900	-0,545415
4,6000	-0,458149
4,6100	-0,362156
4,6200	-0,274889
4,6300	-0,187623
4,6400	-0,0959931
4,6500	-0,00436332
4,6600	0,0829031
4,6700	0,174533
4,6800	0,266163
4,6900	0,353429
4,7000	0,440696
4,7100	0,532325
4,7200	0,619592
4,7300	0,706858
4,7400	0,794125
4,7500	0,872665
4,7600	0,959931
4,7700	1,04283
4,7800	1,12574
4,7900	1,19991
4,8000	1,27845
4,8100	1,36136
4,8200	1,43117
4,8300	1,50535
4,8400	1,57952
4,8500	1,64497
4,8600	1,71479
4,8700	1,77587
4,8800	1,82387
4,8900	1,88496
4,9000	1,95041
4,9100	2,01149
4,9200	2,06385
4,9300	2,11621
4,9400	2,17293
4,9500	2,21220
4,9600	2,25584
4,9700	2,29511
4,9800	2,33001
4,9900	2,36928
5,0000	2,39983
5,0100	2,42601
5,0200	2,45655
5,0300	2,47837
5,0400	2,50018
5,0500	2,51327
5,0600	2,52636
5,0700	2,53945
5,0800	2,54818
5,0900	2,55254
5,1000	2,55691
5,1100	2,55691
5,1200	2,55691
5,1300	2,55254
5,1400	2,54818
5,1500	2,53509
5,1600	2,51764
5,1700	2,50018
5,1800	2,47837
5,1900	2,45655
5,2000	2,42601
5,2100	2,39546
5,2200	2,36056
5,2300	2,32565
5,2400	2,29074
5,2500	2,24711
5,2600	2,19911
5,2700	2,15548
5,2800	2,10312
5,2900	2,05513
5,3000	2,00277
5,3100	1,94604
5,3200	1,89805
5,3300	1,84132
5,3400	1,76715
5,3500	1,69297
5,3600	1,62752
5,3700	1,55334
5,3800	1,47917
5,3900	1,40935
5,4000	1,33081
5,4100	1,25664
5,4200	1,18246
5,4300	1,09956
5,4400	1,01665
5,4500	0,938114
5,4600	0,855211
5,4700	0,767945
5,4800	0,680678
5,4900	0,597775
5,5000	0,514872
5,5100	0,427606
5,5200	0,340339
5,5300	0,248709
5,5400	0,161443
5,5500	0,0741765
5,5600	-0,0174533
5,5700	-0,104720
5,5800	-0,191986
5,5900	-0,279253
5,6000	-0,366519
5,6100	-0,449422
5,6200	-0,536689
5,6300	-0,628319
5,6400	-0,711222
5,6500	-0,785398
5,6600	-0,872665
5,6700	-0,959931
5,6800	-1,02974
5,6900	-1,10392
5,7000	-1,18682
5,7100	-1,27409
5,7200	-1,34390
5,7300	-1,41808
5,7400	-1,48789
5,7500	-1,55771
5,7600	-1,62316
5,7700	-1,68861
5,7800	-1,75406
5,7900	-1,81951
5,8000	-1,87623
5,8100	-1,93295
5,8200	-1,98968
5,8300	-2,04204
5,8400	-2,09003
5,8500	-2,13803
5,8600	-2,18602
5,8700	-2,22529
5,8800	-2,26020
5,8900	-2,29947
5,9000	-2,33438
5,9100	-2,36492
5,9200	-2,39546
5,9300	-2,42164
5,9400	-2,43910
5,9500	-2,46091
5,9600	-2,47837
5,9700	-2,49146
5,9800	-2,50018
5,9900	-2,50455
6,0000	-2,50455
6,0100	-2,50018
6,0200	-2,49146
6,0300	-2,47837
6,0400	-2,45655
6,0500	-2,43473
6,0600	-2,40419
6,0700	-2,37801
6,0800	-2,34310
6,0900	-2,30820
6,1000	-2,27329
6,1100	-2,22966
6,1200	-2,18602
6,1300	-2,14239
6,1400	-2,09876
6,1500	-2,04640
6,1600	-1,98968
6,1700	-1,93732
6,1800	-1,88059
6,1900	-1,81951
6,2000	-1,75842
6,2100	-1,69733
6,2200	-1,63188
6,2300	-1,56207
6,2400	-1,49662
6,2500	-1,42244
6,2600	-1,34827
6,2700	-1,27409
6,2800	-1,20428
6,2900	-1,13010
6,3000	-1,05592
6,3100	-0,973021
6,3200	-0,885755
6,3300	-0,802851
6,3400	-0,724312
6,3500	-0,637045
6,3600	-0,554142
6,3700	-0,475602
6,3800	-0,383972
6,3900	-0,296706
6,4000	-0,209440
6,4100	-0,122173
6,4200	-0,0349066
6,4300	0,0523599
6,4400	0,139626
6,4500	0,226893
6,4600	0,309796
6,4700	0,392699
6,4800	0,479966
6,4900	0,567232
6,5000	0,645772
6,5100	0,733038
6,5200	0,811578
6,5300	0,890118
6,5400	0,973021
6,5500	1,05156
6,5600	1,13010
6,5700	1,20428
6,5800	1,27845
6,5900	1,35699
6,6000	1,42681
6,6100	1,49662
6,6200	1,56207
6,6300	1,62752
6,6400	1,69297
6,6500	1,74969
6,6600	1,79769
6,6700	1,84569
6,6800	1,89805
6,6900	1,96350
6,7000	2,02458
6,7100	2,06385
6,7200	2,11621
6,7300	2,16421
6,7400	2,19475
6,7500	2,23838
6,7600	2,27329
6,7700	2,29947
6,7800	2,33001
6,7900	2,35619
6,8000	2,37801
6,8100	2,39983
6,8200	2,41728
6,8300	2,43037
6,8400	2,44346
6,8500	2,45219
6,8600	2,46091
6,8700	2,46528
6,8800	2,46528
6,8900	2,46528
6,9000	2,46528
6,9100	2,46091
6,9200	2,44782
6,9300	2,43473
6,9400	2,41728
6,9500	2,39546
6,9600	2,37365
6,9700	2,34747
6,9800	2,32129
6,9900	2,29074
7,0000	2,25584
7,0100	2,22093
7,0200	2,18166
7,0300	2,13367
7,0400	2,09003
7,0500	2,05076
7,0600	2,00277
7,0700	1,95041
7,0800	1,90677
